Municipios;Sexo;Periodo;Total
25034 Artesa de Segre;Total;2017;3.508
25034 Artesa de Segre;Total;2016;3.556
25034 Artesa de Segre;Total;2015;3.614
25036 Aspa;Total;2022;221
25036 Aspa;Total;2021;207
25036 Aspa;Total;2020;220
25036 Aspa;Total;2019;224
25036 Aspa;Total;2018;217
25036 Aspa;Total;2017;214
25036 Aspa;Total;2016;217
25036 Aspa;Total;2015;218
25037 Avellanes i Santa Linya, Les;Total;2022;459
25037 Avellanes i Santa Linya, Les;Total;2021;447
25037 Avellanes i Santa Linya, Les;Total;2020;433
25037 Avellanes i Santa Linya, Les;Total;2019;449
25037 Avellanes i Santa Linya, Les;Total;2018;455
25037 Avellanes i Santa Linya, Les;Total;2017;455
25037 Avellanes i Santa Linya, Les;Total;2016;465
25037 Avellanes i Santa Linya, Les;Total;2015;473
25039 Baix Pallars;Total;2022;345
25039 Baix Pallars;Total;2021;342
25039 Baix Pallars;Total;2020;331
25039 Baix Pallars;Total;2019;335
25039 Baix Pallars;Total;2018;330
25039 Baix Pallars;Total;2017;341
25039 Baix Pallars;Total;2016;342
25039 Baix Pallars;Total;2015;350
25040 Balaguer;Total;2022;17.460
25040 Balaguer;Total;2021;17.409
25040 Balaguer;Total;2020;17.472
25040 Balaguer;Total;2019;17.162
25040 Balaguer;Total;2018;16.841
25040 Balaguer;Total;2017;16.670
25040 Balaguer;Total;2016;16.530
25040 Balaguer;Total;2015;16.479
25041 Barbens;Total;2022;979
25041 Barbens;Total;2021;943
25041 Barbens;Total;2020;878
25041 Barbens;Total;2019;878
25041 Barbens;Total;2018;939
25041 Barbens;Total;2017;933
25041 Barbens;Total;2016;943
25041 Barbens;Total;2015;900
25042 Baronia de Rialb, La;Total;2022;229
25042 Baronia de Rialb, La;Total;2021;229
25042 Baronia de Rialb, La;Total;2020;229
25042 Baronia de Rialb, La;Total;2019;237
25042 Baronia de Rialb, La;Total;2018;231
25042 Baronia de Rialb, La;Total;2017;235
25042 Baronia de Rialb, La;Total;2016;240
25042 Baronia de Rialb, La;Total;2015;245
25044 Bassella;Total;2022;223
25044 Bassella;Total;2021;224
25044 Bassella;Total;2020;217
25044 Bassella;Total;2019;224
25044 Bassella;Total;2018;231
25044 Bassella;Total;2017;229
25044 Bassella;Total;2016;235
25044 Bassella;Total;2015;234
