Municipios;Sexo;Periodo;Total
08025 Bruc, El;Total;2015;2.032
08026 Brull, El;Total;2022;278
08026 Brull, El;Total;2021;275
08026 Brull, El;Total;2020;258
08026 Brull, El;Total;2019;263
08026 Brull, El;Total;2018;257
08026 Brull, El;Total;2017;258
08026 Brull, El;Total;2016;263
08026 Brull, El;Total;2015;254
08027 Cabanyes, Les;Total;2022;999
08027 Cabanyes, Les;Total;2021;1.005
08027 Cabanyes, Les;Total;2020;979
08027 Cabanyes, Les;Total;2019;964
08027 Cabanyes, Les;Total;2018;965
08027 Cabanyes, Les;Total;2017;947
08027 Cabanyes, Les;Total;2016;943
08027 Cabanyes, Les;Total;2015;967
08028 Cabrera d'Anoia;Total;2022;1.606
08028 Cabrera d'Anoia;Total;2021;1.521
08028 Cabrera d'Anoia;Total;2020;1.482
08028 Cabrera d'Anoia;Total;2019;1.410
08028 Cabrera d'Anoia;Total;2018;1.376
08028 Cabrera d'Anoia;Total;2017;1.364
08028 Cabrera d'Anoia;Total;2016;1.351
08028 Cabrera d'Anoia;Total;2015;1.348
08029 Cabrera de Mar;Total;2022;4.848
08029 Cabrera de Mar;Total;2021;4.787
08029 Cabrera de Mar;Total;2020;4.747
08029 Cabrera de Mar;Total;2019;4.680
08029 Cabrera de Mar;Total;2018;4.664
08029 Cabrera de Mar;Total;2017;4.594
08029 Cabrera de Mar;Total;2016;4.553
08029 Cabrera de Mar;Total;2015;4.522
08030 Cabrils;Total;2022;7.729
08030 Cabrils;Total;2021;7.567
08030 Cabrils;Total;2020;7.432
08030 Cabrils;Total;2019;7.439
08030 Cabrils;Total;2018;7.348
08030 Cabrils;Total;2017;7.296
08030 Cabrils;Total;2016;7.287
08030 Cabrils;Total;2015;7.250
08031 Calaf;Total;2022;3.590
08031 Calaf;Total;2021;3.597
08031 Calaf;Total;2020;3.656
08031 Calaf;Total;2019;3.535
08031 Calaf;Total;2018;3.547
08031 Calaf;Total;2017;3.477
08031 Calaf;Total;2016;3.424
08031 Calaf;Total;2015;3.426
08034 Calders;Total;2022;1.101
08034 Calders;Total;2021;1.063
08034 Calders;Total;2020;1.045
08034 Calders;Total;2019;970
08034 Calders;Total;2018;946
08034 Calders;Total;2017;962
08034 Calders;Total;2016;953
08034 Calders;Total;2015;968
08033 Caldes de Montbui;Total;2022;17.932
08033 Caldes de Montbui;Total;2021;17.797
08033 Caldes de Montbui;Total;2020;17.812
08033 Caldes de Montbui;Total;2019;17.554
08033 Caldes de Montbui;Total;2018;17.449
08033 Caldes de Montbui;Total;2017;17.187
08033 Caldes de Montbui;Total;2016;17.137
08033 Caldes de Montbui;Total;2015;17.098
08032 Caldes d'Estrac;Total;2022;3.148
08032 Caldes d'Estrac;Total;2021;3.097
08032 Caldes d'Estrac;Total;2020;3.021
08032 Caldes d'Estrac;Total;2019;2.982
08032 Caldes d'Estrac;Total;2018;2.859
08032 Caldes d'Estrac;Total;2017;2.823
08032 Caldes d'Estrac;Total;2016;2.766
08032 Caldes d'Estrac;Total;2015;2.717
08035 Calella;Total;2022;19.363
08035 Calella;Total;2021;19.236
08035 Calella;Total;2020;19.277
08035 Calella;Total;2019;19.069
08035 Calella;Total;2018;18.728
08035 Calella;Total;2017;18.481
08035 Calella;Total;2016;18.317
08035 Calella;Total;2015;18.226
08037 Calldetenes;Total;2022;2.532
08037 Calldetenes;Total;2021;2.504
08037 Calldetenes;Total;2020;2.513
08037 Calldetenes;Total;2019;2.489
08037 Calldetenes;Total;2018;2.497
08037 Calldetenes;Total;2017;2.446
08037 Calldetenes;Total;2016;2.418
08037 Calldetenes;Total;2015;2.427
08038 Callús;Total;2022;2.122
08038 Callús;Total;2021;2.098
08038 Callús;Total;2020;2.129
08038 Callús;Total;2019;2.140
08038 Callús;Total;2018;2.095
08038 Callús;Total;2017;2.067
08038 Callús;Total;2016;2.057
08038 Callús;Total;2015;2.024
08036 Calonge de Segarra;Total;2022;195
08036 Calonge de Segarra;Total;2021;194
08036 Calonge de Segarra;Total;2020;188
08036 Calonge de Segarra;Total;2019;188
08036 Calonge de Segarra;Total;2018;191
08036 Calonge de Segarra;Total;2017;198
08036 Calonge de Segarra;Total;2016;191
08036 Calonge de Segarra;Total;2015;197
08039 Campins;Total;2022;557
08039 Campins;Total;2021;540
08039 Campins;Total;2020;541
08039 Campins;Total;2019;529
08039 Campins;Total;2018;515
08039 Campins;Total;2017;498
08039 Campins;Total;2016;470
08039 Campins;Total;2015;491
08040 Canet de Mar;Total;2022;14.845
08040 Canet de Mar;Total;2021;14.810
08040 Canet de Mar;Total;2020;14.865
08040 Canet de Mar;Total;2019;14.526
08040 Canet de Mar;Total;2018;14.583
08040 Canet de Mar;Total;2017;14.423
08040 Canet de Mar;Total;2016;14.284
08040 Canet de Mar;Total;2015;14.177
08041 Canovelles;Total;2022;16.761
08041 Canovelles;Total;2021;16.872
08041 Canovelles;Total;2020;16.829
08041 Canovelles;Total;2019;16.629
08041 Canovelles;Total;2018;16.317
08041 Canovelles;Total;2017;16.145
08041 Canovelles;Total;2016;15.937
08041 Canovelles;Total;2015;15.906
08042 Cànoves i Samalús;Total;2022;3.289
08042 Cànoves i Samalús;Total;2021;3.219
08042 Cànoves i Samalús;Total;2020;3.156
08042 Cànoves i Samalús;Total;2019;3.117
08042 Cànoves i Samalús;Total;2018;2.995
08042 Cànoves i Samalús;Total;2017;2.906
08042 Cànoves i Samalús;Total;2016;2.873
08042 Cànoves i Samalús;Total;2015;2.897
08043 Canyelles;Total;2022;5.007
08043 Canyelles;Total;2021;4.886
08043 Canyelles;Total;2020;4.699
08043 Canyelles;Total;2019;4.647
08043 Canyelles;Total;2018;4.481
08043 Canyelles;Total;2017;4.388
08043 Canyelles;Total;2016;4.407
08043 Canyelles;Total;2015;4.375
08044 Capellades;Total;2022;5.344
08044 Capellades;Total;2021;5.314
08044 Capellades;Total;2020;5.342
08044 Capellades;Total;2019;5.293
08044 Capellades;Total;2018;5.211
08044 Capellades;Total;2017;5.225
08044 Capellades;Total;2016;5.227
08044 Capellades;Total;2015;5.268
08045 Capolat;Total;2022;89
08045 Capolat;Total;2021;84
08045 Capolat;Total;2020;84
08045 Capolat;Total;2019;94
08045 Capolat;Total;2018;96
08045 Capolat;Total;2017;99
08045 Capolat;Total;2016;93
08045 Capolat;Total;2015;92
08046 Cardedeu;Total;2022;18.785
08046 Cardedeu;Total;2021;18.609
08046 Cardedeu;Total;2020;18.424
08046 Cardedeu;Total;2019;18.357
08046 Cardedeu;Total;2018;18.165
08046 Cardedeu;Total;2017;18.210
08046 Cardedeu;Total;2016;18.158
08046 Cardedeu;Total;2015;17.938
08047 Cardona;Total;2022;4.575
08047 Cardona;Total;2021;4.593
08047 Cardona;Total;2020;4.639
08047 Cardona;Total;2019;4.636
08047 Cardona;Total;2018;4.652
08047 Cardona;Total;2017;4.728
08047 Cardona;Total;2016;4.775
08047 Cardona;Total;2015;4.898
08048 Carme;Total;2022;754
08048 Carme;Total;2021;768
08048 Carme;Total;2020;785
08048 Carme;Total;2019;765
08048 Carme;Total;2018;783
08048 Carme;Total;2017;791
08048 Carme;Total;2016;791
08048 Carme;Total;2015;792
08049 Casserres;Total;2022;1.646
08049 Casserres;Total;2021;1.636
08049 Casserres;Total;2020;1.588
08049 Casserres;Total;2019;1.608
08049 Casserres;Total;2018;1.572
08049 Casserres;Total;2017;1.557
08049 Casserres;Total;2016;1.528
08049 Casserres;Total;2015;1.541
08057 Castell de l'Areny;Total;2022;69
08057 Castell de l'Areny;Total;2021;72
08057 Castell de l'Areny;Total;2020;67
08057 Castell de l'Areny;Total;2019;68
08057 Castell de l'Areny;Total;2018;72
08057 Castell de l'Areny;Total;2017;69
08057 Castell de l'Areny;Total;2016;69
08057 Castell de l'Areny;Total;2015;73
08052 Castellar de n'Hug;Total;2022;176
08052 Castellar de n'Hug;Total;2021;167
08052 Castellar de n'Hug;Total;2020;156
08052 Castellar de n'Hug;Total;2019;159
08052 Castellar de n'Hug;Total;2018;165
08052 Castellar de n'Hug;Total;2017;159
08052 Castellar de n'Hug;Total;2016;157
08052 Castellar de n'Hug;Total;2015;159
08050 Castellar del Riu;Total;2022;175
08050 Castellar del Riu;Total;2021;171
08050 Castellar del Riu;Total;2020;176
08050 Castellar del Riu;Total;2019;169
08050 Castellar del Riu;Total;2018;165
08050 Castellar del Riu;Total;2017;166
08050 Castellar del Riu;Total;2016;176
08050 Castellar del Riu;Total;2015;175
08051 Castellar del Vallès;Total;2022;24.933
08051 Castellar del Vallès;Total;2021;24.659
08051 Castellar del Vallès;Total;2020;24.488
08051 Castellar del Vallès;Total;2019;24.187
08051 Castellar del Vallès;Total;2018;24.036
08051 Castellar del Vallès;Total;2017;23.776
08051 Castellar del Vallès;Total;2016;23.633
08051 Castellar del Vallès;Total;2015;23.442
08053 Castellbell i el Vilar;Total;2022;3.889
08053 Castellbell i el Vilar;Total;2021;3.853
08053 Castellbell i el Vilar;Total;2020;3.719
08053 Castellbell i el Vilar;Total;2019;3.647
08053 Castellbell i el Vilar;Total;2018;3.599
08053 Castellbell i el Vilar;Total;2017;3.618
08053 Castellbell i el Vilar;Total;2016;3.584
08053 Castellbell i el Vilar;Total;2015;3.566
08054 Castellbisbal;Total;2022;12.735
08054 Castellbisbal;Total;2021;12.610
08054 Castellbisbal;Total;2020;12.539
08054 Castellbisbal;Total;2019;12.390
08054 Castellbisbal;Total;2018;12.332
08054 Castellbisbal;Total;2017;12.297
08054 Castellbisbal;Total;2016;12.277
08054 Castellbisbal;Total;2015;12.364
08055 Castellcir;Total;2022;778
08055 Castellcir;Total;2021;753
08055 Castellcir;Total;2020;742
08055 Castellcir;Total;2019;752
08055 Castellcir;Total;2018;728
08055 Castellcir;Total;2017;723
08055 Castellcir;Total;2016;726
08055 Castellcir;Total;2015;694
08056 Castelldefels;Total;2022;67.307
08056 Castelldefels;Total;2021;67.226
08056 Castelldefels;Total;2020;67.460
