Municipios;Sexo;Periodo;Total
43029 Blancafort;Total;2019;389
43029 Blancafort;Total;2018;379
43029 Blancafort;Total;2017;381
43029 Blancafort;Total;2016;393
43029 Blancafort;Total;2015;413
43030 Bonastre;Total;2022;742
43030 Bonastre;Total;2021;727
43030 Bonastre;Total;2020;685
43030 Bonastre;Total;2019;688
43030 Bonastre;Total;2018;687
43030 Bonastre;Total;2017;661
43030 Bonastre;Total;2016;639
43030 Bonastre;Total;2015;641
43031 Borges del Camp, Les;Total;2022;2.148
43031 Borges del Camp, Les;Total;2021;2.104
43031 Borges del Camp, Les;Total;2020;2.056
43031 Borges del Camp, Les;Total;2019;2.037
43031 Borges del Camp, Les;Total;2018;2.080
43031 Borges del Camp, Les;Total;2017;2.080
43031 Borges del Camp, Les;Total;2016;2.070
43031 Borges del Camp, Les;Total;2015;2.087
43032 Bot;Total;2022;566
43032 Bot;Total;2021;566
43032 Bot;Total;2020;554
43032 Bot;Total;2019;573
43032 Bot;Total;2018;601
43032 Bot;Total;2017;609
43032 Bot;Total;2016;615
43032 Bot;Total;2015;618
43033 Botarell;Total;2022;1.102
43033 Botarell;Total;2021;1.094
43033 Botarell;Total;2020;1.077
43033 Botarell;Total;2019;1.068
43033 Botarell;Total;2018;1.070
43033 Botarell;Total;2017;1.078
43033 Botarell;Total;2016;1.120
43033 Botarell;Total;2015;1.101
43034 Bràfim;Total;2022;687
43034 Bràfim;Total;2021;695
43034 Bràfim;Total;2020;695
43034 Bràfim;Total;2019;692
43034 Bràfim;Total;2018;673
43034 Bràfim;Total;2017;672
43034 Bràfim;Total;2016;668
43034 Bràfim;Total;2015;665
43035 Cabacés;Total;2022;304
43035 Cabacés;Total;2021;312
43035 Cabacés;Total;2020;302
43035 Cabacés;Total;2019;298
43035 Cabacés;Total;2018;305
43035 Cabacés;Total;2017;309
43035 Cabacés;Total;2016;326
43035 Cabacés;Total;2015;330
43036 Cabra del Camp;Total;2022;1.254
43036 Cabra del Camp;Total;2021;1.230
43036 Cabra del Camp;Total;2020;1.175
43036 Cabra del Camp;Total;2019;1.163
43036 Cabra del Camp;Total;2018;1.141
43036 Cabra del Camp;Total;2017;1.131
43036 Cabra del Camp;Total;2016;1.113
43036 Cabra del Camp;Total;2015;1.109
43037 Calafell;Total;2022;29.102
43037 Calafell;Total;2021;28.463
43037 Calafell;Total;2020;27.601
43037 Calafell;Total;2019;26.538
43037 Calafell;Total;2018;25.444
43037 Calafell;Total;2017;24.898
43037 Calafell;Total;2016;24.289
43037 Calafell;Total;2015;24.256
43903 Camarles;Total;2022;3.309
43903 Camarles;Total;2021;3.220
43903 Camarles;Total;2020;3.194
43903 Camarles;Total;2019;3.224
43903 Camarles;Total;2018;3.278
43903 Camarles;Total;2017;3.270
43903 Camarles;Total;2016;3.349
43903 Camarles;Total;2015;3.476
43038 Cambrils;Total;2022;35.675
43038 Cambrils;Total;2021;35.064
43038 Cambrils;Total;2020;34.734
43038 Cambrils;Total;2019;33.898
43038 Cambrils;Total;2018;33.362
43038 Cambrils;Total;2017;32.855
43038 Cambrils;Total;2016;33.273
43038 Cambrils;Total;2015;32.915
43907 Canonja, La;Total;2022;5.873
43907 Canonja, La;Total;2021;5.933
43907 Canonja, La;Total;2020;5.956
43907 Canonja, La;Total;2019;5.893
43907 Canonja, La;Total;2018;5.842
43907 Canonja, La;Total;2017;5.804
43907 Canonja, La;Total;2016;5.846
43907 Canonja, La;Total;2015;5.839
43039 Capafonts;Total;2022;121
43039 Capafonts;Total;2021;125
43039 Capafonts;Total;2020;111
43039 Capafonts;Total;2019;121
43039 Capafonts;Total;2018;96
43039 Capafonts;Total;2017;102
43039 Capafonts;Total;2016;112
43039 Capafonts;Total;2015;111
43040 Capçanes;Total;2022;407
43040 Capçanes;Total;2021;394
43040 Capçanes;Total;2020;392
43040 Capçanes;Total;2019;398
43040 Capçanes;Total;2018;398
43040 Capçanes;Total;2017;403
43040 Capçanes;Total;2016;392
43040 Capçanes;Total;2015;413
43041 Caseres;Total;2022;233
43041 Caseres;Total;2021;226
43041 Caseres;Total;2020;237
43041 Caseres;Total;2019;259
43041 Caseres;Total;2018;235
43041 Caseres;Total;2017;234
43041 Caseres;Total;2016;253
43041 Caseres;Total;2015;258
43042 Castellvell del Camp;Total;2022;2.946
43042 Castellvell del Camp;Total;2021;2.873
43042 Castellvell del Camp;Total;2020;2.828
43042 Castellvell del Camp;Total;2019;2.857
43042 Castellvell del Camp;Total;2018;2.868
43042 Castellvell del Camp;Total;2017;2.849
43042 Castellvell del Camp;Total;2016;2.851
43042 Castellvell del Camp;Total;2015;2.897
43043 Catllar, El;Total;2022;4.921
43043 Catllar, El;Total;2021;4.740
43043 Catllar, El;Total;2020;4.557
43043 Catllar, El;Total;2019;4.451
43043 Catllar, El;Total;2018;4.344
43043 Catllar, El;Total;2017;4.251
43043 Catllar, El;Total;2016;4.211
43043 Catllar, El;Total;2015;4.215
43045 Colldejou;Total;2022;172
43045 Colldejou;Total;2021;167
43045 Colldejou;Total;2020;168
43045 Colldejou;Total;2019;176
43045 Colldejou;Total;2018;170
43045 Colldejou;Total;2017;170
43045 Colldejou;Total;2016;171
43045 Colldejou;Total;2015;172
43046 Conesa;Total;2022;109
