Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
43025 Benifallet;;;Renta neta media por hogar;2020;29.148
43025 Benifallet;;;Renta neta media por hogar;2019;27.705
43025 Benifallet;;;Renta neta media por hogar;2018;27.715
43025 Benifallet;;;Renta neta media por hogar;2017;26.858
43025 Benifallet;;;Renta neta media por hogar;2016;26.804
43025 Benifallet;;;Renta neta media por hogar;2015;25.918
43026 Benissanet;;;Renta neta media por hogar;2020;28.719
43026 Benissanet;;;Renta neta media por hogar;2019;27.816
43026 Benissanet;;;Renta neta media por hogar;2018;27.003
43026 Benissanet;;;Renta neta media por hogar;2017;26.202
43026 Benissanet;;;Renta neta media por hogar;2016;25.311
43026 Benissanet;;;Renta neta media por hogar;2015;24.928
43027 Bisbal de Falset, La;;;Renta neta media por hogar;2020;22.855
43027 Bisbal de Falset, La;;;Renta neta media por hogar;2019;21.580
43027 Bisbal de Falset, La;;;Renta neta media por hogar;2018;23.147
43027 Bisbal de Falset, La;;;Renta neta media por hogar;2017;22.468
43027 Bisbal de Falset, La;;;Renta neta media por hogar;2016;21.674
43027 Bisbal de Falset, La;;;Renta neta media por hogar;2015;20.246
43028 Bisbal del Penedès, La;;;Renta neta media por hogar;2020;29.141
43028 Bisbal del Penedès, La;;;Renta neta media por hogar;2019;28.935
43028 Bisbal del Penedès, La;;;Renta neta media por hogar;2018;27.753
43028 Bisbal del Penedès, La;;;Renta neta media por hogar;2017;25.796
43028 Bisbal del Penedès, La;;;Renta neta media por hogar;2016;24.906
43028 Bisbal del Penedès, La;;;Renta neta media por hogar;2015;24.324
43029 Blancafort;;;Renta neta media por hogar;2020;30.498
43029 Blancafort;;;Renta neta media por hogar;2019;32.595
43029 Blancafort;;;Renta neta media por hogar;2018;31.164
43029 Blancafort;;;Renta neta media por hogar;2017;28.592
43029 Blancafort;;;Renta neta media por hogar;2016;26.767
43029 Blancafort;;;Renta neta media por hogar;2015;26.637
43030 Bonastre;;;Renta neta media por hogar;2020;25.581
43030 Bonastre;;;Renta neta media por hogar;2019;25.874
43030 Bonastre;;;Renta neta media por hogar;2018;24.218
43030 Bonastre;;;Renta neta media por hogar;2017;23.803
43030 Bonastre;;;Renta neta media por hogar;2016;22.621
43030 Bonastre;;;Renta neta media por hogar;2015;21.650
43031 Borges del Camp, Les;;;Renta neta media por hogar;2020;32.666
43031 Borges del Camp, Les;;;Renta neta media por hogar;2019;33.906
43031 Borges del Camp, Les;;;Renta neta media por hogar;2018;31.790
43031 Borges del Camp, Les;;;Renta neta media por hogar;2017;30.803
43031 Borges del Camp, Les;;;Renta neta media por hogar;2016;30.603
43031 Borges del Camp, Les;;;Renta neta media por hogar;2015;28.758
43032 Bot;;;Renta neta media por hogar;2020;25.773
43032 Bot;;;Renta neta media por hogar;2019;26.413
43032 Bot;;;Renta neta media por hogar;2018;24.987
43032 Bot;;;Renta neta media por hogar;2017;25.137
43032 Bot;;;Renta neta media por hogar;2016;24.456
43032 Bot;;;Renta neta media por hogar;2015;24.526
43033 Botarell;;;Renta neta media por hogar;2020;36.141
43033 Botarell;;;Renta neta media por hogar;2019;37.099
43033 Botarell;;;Renta neta media por hogar;2018;36.272
43033 Botarell;;;Renta neta media por hogar;2017;33.323
43033 Botarell;;;Renta neta media por hogar;2016;32.289
43033 Botarell;;;Renta neta media por hogar;2015;33.004
43034 Bràfim;;;Renta neta media por hogar;2020;33.449
43034 Bràfim;;;Renta neta media por hogar;2019;34.164
43034 Bràfim;;;Renta neta media por hogar;2018;31.225
43034 Bràfim;;;Renta neta media por hogar;2017;30.579
43034 Bràfim;;;Renta neta media por hogar;2016;28.712
43034 Bràfim;;;Renta neta media por hogar;2015;27.581
43035 Cabacés;;;Renta neta media por hogar;2020;24.472
43035 Cabacés;;;Renta neta media por hogar;2019;24.630
43035 Cabacés;;;Renta neta media por hogar;2018;22.032
43035 Cabacés;;;Renta neta media por hogar;2017;22.095
43035 Cabacés;;;Renta neta media por hogar;2016;22.365
43035 Cabacés;;;Renta neta media por hogar;2015;22.139
43036 Cabra del Camp;;;Renta neta media por hogar;2020;31.296
43036 Cabra del Camp;;;Renta neta media por hogar;2019;30.591
43036 Cabra del Camp;;;Renta neta media por hogar;2018;29.613
43036 Cabra del Camp;;;Renta neta media por hogar;2017;26.792
43036 Cabra del Camp;;;Renta neta media por hogar;2016;25.901
43036 Cabra del Camp;;;Renta neta media por hogar;2015;25.590
43037 Calafell;;;Renta neta media por hogar;2020;29.398
43037 Calafell;;;Renta neta media por hogar;2019;29.391
43037 Calafell;;;Renta neta media por hogar;2018;28.136
43037 Calafell;;;Renta neta media por hogar;2017;27.026
43037 Calafell;;;Renta neta media por hogar;2016;26.410
43037 Calafell;;;Renta neta media por hogar;2015;25.719
