Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
17023 Blanes;;;Renta neta media por hogar;2020;29.329
17023 Blanes;;;Renta neta media por hogar;2019;30.128
17023 Blanes;;;Renta neta media por hogar;2018;28.875
17023 Blanes;;;Renta neta media por hogar;2017;27.668
17023 Blanes;;;Renta neta media por hogar;2016;26.823
17023 Blanes;;;Renta neta media por hogar;2015;26.015
17024 Bolvir;;;Renta neta media por hogar;2020;35.110
17024 Bolvir;;;Renta neta media por hogar;2019;37.784
17024 Bolvir;;;Renta neta media por hogar;2018;36.053
17024 Bolvir;;;Renta neta media por hogar;2017;35.379
17024 Bolvir;;;Renta neta media por hogar;2016;34.723
17024 Bolvir;;;Renta neta media por hogar;2015;34.678
17025 Bordils;;;Renta neta media por hogar;2020;42.122
17025 Bordils;;;Renta neta media por hogar;2019;42.159
17025 Bordils;;;Renta neta media por hogar;2018;40.419
17025 Bordils;;;Renta neta media por hogar;2017;38.718
17025 Bordils;;;Renta neta media por hogar;2016;37.756
17025 Bordils;;;Renta neta media por hogar;2015;36.400
17026 Borrassà;;;Renta neta media por hogar;2020;44.522
17026 Borrassà;;;Renta neta media por hogar;2019;44.612
17026 Borrassà;;;Renta neta media por hogar;2018;42.511
17026 Borrassà;;;Renta neta media por hogar;2017;40.394
17026 Borrassà;;;Renta neta media por hogar;2016;41.977
17026 Borrassà;;;Renta neta media por hogar;2015;44.525
17027 Breda;;;Renta neta media por hogar;2020;33.222
17027 Breda;;;Renta neta media por hogar;2019;32.998
17027 Breda;;;Renta neta media por hogar;2018;31.937
17027 Breda;;;Renta neta media por hogar;2017;30.530
17027 Breda;;;Renta neta media por hogar;2016;29.782
17027 Breda;;;Renta neta media por hogar;2015;29.187
17028 Brunyola i Sant Martí Sapresa;;;Renta neta media por hogar;2020;46.122
17028 Brunyola i Sant Martí Sapresa;;;Renta neta media por hogar;2019;46.961
17028 Brunyola i Sant Martí Sapresa;;;Renta neta media por hogar;2018;44.920
17028 Brunyola i Sant Martí Sapresa;;;Renta neta media por hogar;2017;41.250
17028 Brunyola i Sant Martí Sapresa;;;Renta neta media por hogar;2016;41.379
17028 Brunyola i Sant Martí Sapresa;;;Renta neta media por hogar;2015;39.798
17029 Boadella i les Escaules;;;Renta neta media por hogar;2020;39.239
17029 Boadella i les Escaules;;;Renta neta media por hogar;2019;35.390
17029 Boadella i les Escaules;;;Renta neta media por hogar;2018;33.834
17029 Boadella i les Escaules;;;Renta neta media por hogar;2017;30.462
17029 Boadella i les Escaules;;;Renta neta media por hogar;2016;32.873
17029 Boadella i les Escaules;;;Renta neta media por hogar;2015;31.701
17030 Cabanes;;;Renta neta media por hogar;2020;31.569
17030 Cabanes;;;Renta neta media por hogar;2019;32.260
17030 Cabanes;;;Renta neta media por hogar;2018;31.156
17030 Cabanes;;;Renta neta media por hogar;2017;30.730
17030 Cabanes;;;Renta neta media por hogar;2016;29.615
17030 Cabanes;;;Renta neta media por hogar;2015;29.018
17031 Cabanelles;;;Renta neta media por hogar;2020;26.507
17031 Cabanelles;;;Renta neta media por hogar;2019;29.447
17031 Cabanelles;;;Renta neta media por hogar;2018;29.494
17031 Cabanelles;;;Renta neta media por hogar;2017;27.639
17031 Cabanelles;;;Renta neta media por hogar;2016;26.832
17031 Cabanelles;;;Renta neta media por hogar;2015;25.726
17032 Cadaqués;;;Renta neta media por hogar;2020;30.089
17032 Cadaqués;;;Renta neta media por hogar;2019;32.030
17032 Cadaqués;;;Renta neta media por hogar;2018;30.320
17032 Cadaqués;;;Renta neta media por hogar;2017;28.451
17032 Cadaqués;;;Renta neta media por hogar;2016;27.032
17032 Cadaqués;;;Renta neta media por hogar;2015;26.354
17033 Caldes de Malavella;;;Renta neta media por hogar;2020;37.055
17033 Caldes de Malavella;;;Renta neta media por hogar;2019;37.336
17033 Caldes de Malavella;;;Renta neta media por hogar;2018;35.595
17033 Caldes de Malavella;;;Renta neta media por hogar;2017;34.120
17033 Caldes de Malavella;;;Renta neta media por hogar;2016;33.013
17033 Caldes de Malavella;;;Renta neta media por hogar;2015;31.990
17034 Calonge i Sant Antoni;;;Renta neta media por hogar;2020;32.810
17034 Calonge i Sant Antoni;;;Renta neta media por hogar;2019;31.896
17034 Calonge i Sant Antoni;;;Renta neta media por hogar;2018;30.249
17034 Calonge i Sant Antoni;;;Renta neta media por hogar;2017;29.484
17034 Calonge i Sant Antoni;;;Renta neta media por hogar;2016;28.722
17034 Calonge i Sant Antoni;;;Renta neta media por hogar;2015;27.227
