Municipios;Sexo;Periodo;Total
17056 Cornellà del Terri;Total;2018;2.322
17056 Cornellà del Terri;Total;2017;2.280
17056 Cornellà del Terri;Total;2016;2.279
17056 Cornellà del Terri;Total;2015;2.236
17058 Crespià;Total;2022;276
17058 Crespià;Total;2021;270
17058 Crespià;Total;2020;254
17058 Crespià;Total;2019;246
17058 Crespià;Total;2018;251
17058 Crespià;Total;2017;259
17058 Crespià;Total;2016;267
17058 Crespià;Total;2015;256
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2022;1.338
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2021;1.327
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2020;1.270
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2019;1.279
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2018;1.274
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2017;1.296
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2016;1.292
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2015;1.304
17060 Darnius;Total;2022;535
17060 Darnius;Total;2021;540
17060 Darnius;Total;2020;537
17060 Darnius;Total;2019;546
17060 Darnius;Total;2018;557
17060 Darnius;Total;2017;564
17060 Darnius;Total;2016;550
17060 Darnius;Total;2015;554
17061 Das;Total;2022;267
17061 Das;Total;2021;248
17061 Das;Total;2020;234
17061 Das;Total;2019;253
17061 Das;Total;2018;227
17061 Das;Total;2017;223
17061 Das;Total;2016;215
17061 Das;Total;2015;222
17062 Escala, L';Total;2022;10.520
17062 Escala, L';Total;2021;10.497
17062 Escala, L';Total;2020;10.244
17062 Escala, L';Total;2019;10.339
17062 Escala, L';Total;2018;10.417
17062 Escala, L';Total;2017;10.407
17062 Escala, L';Total;2016;10.400
17062 Escala, L';Total;2015;10.276
17063 Espinelves;Total;2022;248
17063 Espinelves;Total;2021;239
17063 Espinelves;Total;2020;221
17063 Espinelves;Total;2019;215
17063 Espinelves;Total;2018;206
17063 Espinelves;Total;2017;203
17063 Espinelves;Total;2016;201
17063 Espinelves;Total;2015;196
17064 Espolla;Total;2022;408
17064 Espolla;Total;2021;412
17064 Espolla;Total;2020;412
17064 Espolla;Total;2019;416
17064 Espolla;Total;2018;425
17064 Espolla;Total;2017;423
17064 Espolla;Total;2016;421
17064 Espolla;Total;2015;415
17065 Esponellà;Total;2022;489
17065 Esponellà;Total;2021;469
17065 Esponellà;Total;2020;463
17065 Esponellà;Total;2019;438
17065 Esponellà;Total;2018;433
17065 Esponellà;Total;2017;432
17065 Esponellà;Total;2016;456
17065 Esponellà;Total;2015;444
17005 Far d'Empordà, El;Total;2022;625
17005 Far d'Empordà, El;Total;2021;619
17005 Far d'Empordà, El;Total;2020;602
17005 Far d'Empordà, El;Total;2019;599
17005 Far d'Empordà, El;Total;2018;576
17005 Far d'Empordà, El;Total;2017;568
17005 Far d'Empordà, El;Total;2016;553
17005 Far d'Empordà, El;Total;2015;552
17066 Figueres;Total;2022;47.088
17066 Figueres;Total;2021;47.043
17066 Figueres;Total;2020;47.235
17066 Figueres;Total;2019;46.654
17066 Figueres;Total;2018;46.381
17066 Figueres;Total;2017;45.961
17066 Figueres;Total;2016;45.726
17066 Figueres;Total;2015;45.346
17067 Flaçà;Total;2022;1.130
17067 Flaçà;Total;2021;1.147
17067 Flaçà;Total;2020;1.130
17067 Flaçà;Total;2019;1.093
17067 Flaçà;Total;2018;1.081
17067 Flaçà;Total;2017;1.050
17067 Flaçà;Total;2016;1.018
17067 Flaçà;Total;2015;1.060
17068 Foixà;Total;2022;288
17068 Foixà;Total;2021;299
17068 Foixà;Total;2020;303
17068 Foixà;Total;2019;297
17068 Foixà;Total;2018;305
17068 Foixà;Total;2017;313
17068 Foixà;Total;2016;309
17068 Foixà;Total;2015;306
17069 Fontanals de Cerdanya;Total;2022;533
17069 Fontanals de Cerdanya;Total;2021;506
17069 Fontanals de Cerdanya;Total;2020;437
17069 Fontanals de Cerdanya;Total;2019;444
17069 Fontanals de Cerdanya;Total;2018;455
17069 Fontanals de Cerdanya;Total;2017;448
17069 Fontanals de Cerdanya;Total;2016;446
17069 Fontanals de Cerdanya;Total;2015;450
17070 Fontanilles;Total;2022;163
17070 Fontanilles;Total;2021;157
17070 Fontanilles;Total;2020;146
17070 Fontanilles;Total;2019;139
17070 Fontanilles;Total;2018;138
17070 Fontanilles;Total;2017;138
17070 Fontanilles;Total;2016;140
17070 Fontanilles;Total;2015;144
17071 Fontcoberta;Total;2022;1.466
17071 Fontcoberta;Total;2021;1.468
17071 Fontcoberta;Total;2020;1.469
17071 Fontcoberta;Total;2019;1.468
17071 Fontcoberta;Total;2018;1.474
17071 Fontcoberta;Total;2017;1.481
17071 Fontcoberta;Total;2016;1.471
17071 Fontcoberta;Total;2015;1.448
17902 Forallac;Total;2022;1.765
17902 Forallac;Total;2021;1.708
17902 Forallac;Total;2020;1.695
17902 Forallac;Total;2019;1.687
17902 Forallac;Total;2018;1.713
17902 Forallac;Total;2017;1.708
17902 Forallac;Total;2016;1.723
17902 Forallac;Total;2015;1.705
17073 Fornells de la Selva;Total;2022;2.693
17073 Fornells de la Selva;Total;2021;2.700
17073 Fornells de la Selva;Total;2020;2.670
17073 Fornells de la Selva;Total;2019;2.650
17073 Fornells de la Selva;Total;2018;2.649
17073 Fornells de la Selva;Total;2017;2.613
17073 Fornells de la Selva;Total;2016;2.547
17073 Fornells de la Selva;Total;2015;2.528
17074 Fortià;Total;2022;778
17074 Fortià;Total;2021;793
17074 Fortià;Total;2020;787
17074 Fortià;Total;2019;763
17074 Fortià;Total;2018;732
17074 Fortià;Total;2017;726
17074 Fortià;Total;2016;721
17074 Fortià;Total;2015;723
17075 Garrigàs;Total;2022;458
17075 Garrigàs;Total;2021;464
17075 Garrigàs;Total;2020;451
17075 Garrigàs;Total;2019;437
17075 Garrigàs;Total;2018;439
17075 Garrigàs;Total;2017;436
17075 Garrigàs;Total;2016;435
17075 Garrigàs;Total;2015;423
17076 Garrigoles;Total;2022;177
17076 Garrigoles;Total;2021;170
17076 Garrigoles;Total;2020;167
17076 Garrigoles;Total;2019;162
