Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
25027 Anglesola;;;Renta neta media por hogar;2017;29.010
25027 Anglesola;;;Renta neta media por hogar;2016;27.962
25027 Anglesola;;;Renta neta media por hogar;2015;27.344
25029 Arbeca;;;Renta neta media por hogar;2020;30.552
25029 Arbeca;;;Renta neta media por hogar;2019;30.253
25029 Arbeca;;;Renta neta media por hogar;2018;28.836
25029 Arbeca;;;Renta neta media por hogar;2017;27.068
25029 Arbeca;;;Renta neta media por hogar;2016;26.629
25029 Arbeca;;;Renta neta media por hogar;2015;26.461
25030 Pont de Bar, El;;;Renta neta media por hogar;2020;24.769
25030 Pont de Bar, El;;;Renta neta media por hogar;2019;28.025
25030 Pont de Bar, El;;;Renta neta media por hogar;2018;25.689
25030 Pont de Bar, El;;;Renta neta media por hogar;2017;19.481
25030 Pont de Bar, El;;;Renta neta media por hogar;2016;21.218
25030 Pont de Bar, El;;;Renta neta media por hogar;2015;20.475
25031 Arres;;;Renta neta media por hogar;2020;35.146
25031 Arres;;;Renta neta media por hogar;2019;.
25031 Arres;;;Renta neta media por hogar;2018;.
25031 Arres;;;Renta neta media por hogar;2017;.
25031 Arres;;;Renta neta media por hogar;2016;.
25031 Arres;;;Renta neta media por hogar;2015;.
25032 Arsèguel;;;Renta neta media por hogar;2020;35.146
25032 Arsèguel;;;Renta neta media por hogar;2019;.
25032 Arsèguel;;;Renta neta media por hogar;2018;.
25032 Arsèguel;;;Renta neta media por hogar;2017;.
25032 Arsèguel;;;Renta neta media por hogar;2016;.
25032 Arsèguel;;;Renta neta media por hogar;2015;.
25033 Artesa de Lleida;;;Renta neta media por hogar;2020;35.363
25033 Artesa de Lleida;;;Renta neta media por hogar;2019;35.470
25033 Artesa de Lleida;;;Renta neta media por hogar;2018;34.236
25033 Artesa de Lleida;;;Renta neta media por hogar;2017;32.836
25033 Artesa de Lleida;;;Renta neta media por hogar;2016;30.796
25033 Artesa de Lleida;;;Renta neta media por hogar;2015;29.512
25034 Artesa de Segre;;;Renta neta media por hogar;2020;30.808
25034 Artesa de Segre;;;Renta neta media por hogar;2019;29.997
25034 Artesa de Segre;;;Renta neta media por hogar;2018;28.492
25034 Artesa de Segre;;;Renta neta media por hogar;2017;27.464
25034 Artesa de Segre;;;Renta neta media por hogar;2016;26.287
25034 Artesa de Segre;;;Renta neta media por hogar;2015;24.930
25035 Sentiu de Sió, La;;;Renta neta media por hogar;2020;34.381
25035 Sentiu de Sió, La;;;Renta neta media por hogar;2019;32.856
25035 Sentiu de Sió, La;;;Renta neta media por hogar;2018;32.136
25035 Sentiu de Sió, La;;;Renta neta media por hogar;2017;29.866
25035 Sentiu de Sió, La;;;Renta neta media por hogar;2016;30.112
25035 Sentiu de Sió, La;;;Renta neta media por hogar;2015;30.787
25036 Aspa;;;Renta neta media por hogar;2020;23.158
25036 Aspa;;;Renta neta media por hogar;2019;26.010
25036 Aspa;;;Renta neta media por hogar;2018;23.224
25036 Aspa;;;Renta neta media por hogar;2017;26.030
25036 Aspa;;;Renta neta media por hogar;2016;22.571
25036 Aspa;;;Renta neta media por hogar;2015;21.827
25037 Avellanes i Santa Linya, Les;;;Renta neta media por hogar;2020;35.507
25037 Avellanes i Santa Linya, Les;;;Renta neta media por hogar;2019;33.480
25037 Avellanes i Santa Linya, Les;;;Renta neta media por hogar;2018;32.867
25037 Avellanes i Santa Linya, Les;;;Renta neta media por hogar;2017;29.233
25037 Avellanes i Santa Linya, Les;;;Renta neta media por hogar;2016;27.751
25037 Avellanes i Santa Linya, Les;;;Renta neta media por hogar;2015;26.825
